file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0018_0343_2399660_to_2404471,གསད་དགོས་ཡོད་ན་ང་གསད་རོགས། རེད་དེ་ ,gsad dgos yod na nga gsad rogs/_red de _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0018_0343_2399660_to_2404471.wav,STT_MV,3,35,4.811,wav16k/STT_MV0018_0343_2399660_to_2404471.wav,གསད་དགོས་ཡོད་ན་ང་གསད་རོགས། རེད་དེ
STT_MV0018_0344_2404471_to_2409826,ཚུན་དབྱིན་ལ་ཁག་པོ་མ་བཟོ་རོགས།  ,tshun dbyin la khag po ma bzo rogs/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0018_0344_2404471_to_2409826.wav,STT_MV,3,31,5.355,wav16k/STT_MV0018_0344_2404471_to_2409826.wav,སུའ་དབྱིན་ལ་ཁག་པོ་མ་བཟོ་རོགས།
STT_MV0250_0281_1982868_to_1991244,ཏན་ཏན་གྲོགས་པོ་ཡག་པོ་ཞིག་ཆགས་ཀི་རེད། གསུང་དུས་ལས་སླ་པོ་ཡོད། ཁྱེད་རང་ཚོས་མི་བསླུ་ཁྲིད་བྱེད་ཡ་མ་གཏོགས་ག་རེ་མཁྱེན་གི་ཡོད།  ,tan tan grogs po yag po zhig chags ki red/_gsung dus las sla po yod/_khyed rang tshos mi bslu khrid byed ya ma gtogs ga re mkhyen gi yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0250_0281_1982868_to_1991244.wav,STT_MV,3,120,8.376,wav16k/STT_MV0250_0281_1982868_to_1991244.wav,ཏན་ཏན་གྲོགས་པོ་ཡག་པོ་ཅིག་ཆོས་པ་རེད། གསུང་དུས་ལས་སླ་པོ་ཡོད། ཁྱེད་རང་ཚོས་མི་བསླུ་ཁྲིད་བྱེད་ཡ་མ་གཏོགས་ག་རེ་མཁྱེན་གི་ཡོད།
STT_MV0037_0019_202508_to_207913,མཁན་པོ་ལགས། ལགས་འོ། འདི་ཉར་ན་སྐྱོན་ག་རེ་འདུག ,mkhan po lags/_lags 'o/_'di nyar na skyon ga re 'dug_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0037_0019_202508_to_207913.wav,STT_MV,3,45,5.405,wav16k/STT_MV0037_0019_202508_to_207913.wav,མཁན་པོ་ལགས། ལག། འདི་ཉར་ན་སྐྱོན་ག་རེ་འདུག
STT_MV0037_0020_207913_to_211543,ཁོའི་མདོག་འདི་གཅིག་གཟིགས་གནང་ད།  ,kho'i mdog 'di gcig gzigs gnang da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0037_0020_207913_to_211543.wav,STT_MV,3,33,3.63,wav16k/STT_MV0037_0020_207913_to_211543.wav,ཁོའི་མདོག་འདེར་གཅིག་གཟིགས་གནང་ད།
STT_MV0250_0287_2021920_to_2030859,དེ་ལས་ཁྱེད་རང་གིས་ང་ཡར་བཅུག་རོགས་གནང་། བཞུགས་གོ ཡ་ཡ་ཨ་ཙི། ཨ་ཙི། མི་འདི་ག་རེ་བྱེད་ཀི་ཡོད་རེད། ག་རེ་བྱེད་ཀི་ཡོད་རེད།  ,de las khyed rang gis nga yar bcug rogs gnang /_bzhugs go_ya ya a tsi/_a tsi/_mi 'di ga re byed ki yod red/_ga re byed ki yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0250_0287_2021920_to_2030859.wav,STT_MV,3,116,8.939,wav16k/STT_MV0250_0287_2021920_to_2030859.wav,དེ་ལས་ཁྱེད་རང་གིས་ང་ཡ་བཅུག་རོགས་གནང་། བཞུགས་གོ  ཡ་ཡ།  ཨ་ཙི། ཧེ། ཨ་ཙི། མི་འདི་ག་རེ་བྱེད་ཀི་ཡོད་རེད། ག་རེ་བྱེད་ཀི་ཡོད་རེད།
STT_MV0250_0291_2060419_to_2061915,ཧ་ཧ་ཧ།  ,ha ha ha/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0250_0291_2060419_to_2061915.wav,STT_MV,3,8,1.496,wav16k/STT_MV0250_0291_2060419_to_2061915.wav,ཧ་ཧ་ཧ།
STT_MV0250_0292_2061915_to_2066154,ཨ་ཙི་འདིས་རྒྱགས་པ་འདུག་གེ་ རྒྱགས་པ། འགྲོ་འགྲོ།  ,a tsi 'dis rgyags pa 'dug ge _rgyags pa/_'gro 'gro/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0250_0292_2061915_to_2066154.wav,STT_MV,3,48,4.239,wav16k/STT_MV0250_0292_2061915_to_2066154.wav,ཨ་ཙི། འདི་རྒྱབ་འདུག་གེ། རྒྱག་པ། འགྲོའགྲོ
STT_MV0250_0294_2074897_to_2078447,ད་དུང་བསམ་བློ་དེ་འཁོར་བསྡད་ཡོད་པེ། ཡོང་ང་།  ,da dung bsam blo de 'khor bsdad yod pe/_yong nga /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0250_0294_2074897_to_2078447.wav,STT_MV,3,44,3.55,wav16k/STT_MV0250_0294_2074897_to_2078447.wav,ད་དུང་བསམ་བློ་དེ་འཁོར་བསྡད་ཡོད་པེ། ཡོང་ང་།
STT_MV0250_0295_2078447_to_2080675,ཡ་འདི་ཚུའེ་ཧྲན་ ,ya 'di tshu'e hran _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0250_0295_2078447_to_2080675.wav,STT_MV,3,16,2.228,wav16k/STT_MV0250_0295_2078447_to_2080675.wav,ཡ་འདི། ཚུའེ་ཧྲན།
STT_MV0250_0296_2080675_to_2086638,འདིར་ཤོག་ད། འདིར་ཚུར་ཤོག་ད། ཚུའེ་ཧྲན་ཁྱེད་རང་ཚོ་མཉམ་དུ་ ,'dir shog da/_'dir tshur shog da/_tshu'e hran khyed rang tsho mnyam du _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0250_0296_2080675_to_2086638.wav,STT_MV,3,56,5.963,wav16k/STT_MV0250_0296_2080675_to_2086638.wav,འདིར་ཤོག་ད། འདིར་ཚུར་ཤོག་ད། ཚུའེ་ཧྲང་ཁྱེད་རང་ཚོ་མཉམ་དུ།
